,Kernel,C,Accuracy_mean,Accuracy_std,Precision_mean_D0,Precision_std_D0,Recall_mean_D0,Recall_std_D0,F1_score_mean_D0,F1_score_std_D0,Precision_mean_D1,Precision_std_D1,Recall_mean_D1,Recall_std_D1,F1_score_mean_D1,F1_score_std_D1,Precision_mean_D2,Precision_std_D2,Recall_mean_D2,Recall_std_D2,F1_score_mean_D2,F1_score_std_D2,Precision_mean_D3,Precision_std_D3,Recall_mean_D3,Recall_std_D3,F1_score_mean_D3,F1_score_std_D3,Precision_mean_D4,Precision_std_D4,Recall_mean_D4,Recall_std_D4,F1_score_mean_D4,F1_score_std_D4,Precision_mean_D5,Precision_std_D5,Recall_mean_D5,Recall_std_D5,F1_score_mean_D5,F1_score_std_D5,Precision_mean_D6,Precision_std_D6,Recall_mean_D6,Recall_std_D6,F1_score_mean_D6,F1_score_std_D6
0,linear,0.001,0.4054830287206266,0.032296921922427994,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194,0.4311465269948793,0.07125528635945087,0.3863451485822934,0.029322934955037412,0.3157956092485034,0.04183152777106194
1,linear,0.01,0.6279373368146214,0.015457712914481142,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041,0.6168955350299309,0.016222719442432185,0.6175043323631844,0.010895897366727214,0.5948799411481047,0.01255340045305041
2,linear,0.1,0.731331592689295,0.010276067182326078,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852,0.7275189392417876,0.015564403568181692,0.7254220851542872,0.015069219115122233,0.720887817503489,0.014727915145305852
3,linear,1.0,0.7449086161879894,0.011323889525953748,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995,0.7404525263040991,0.013953393914989695,0.7384778526452485,0.014216317461637366,0.7353962134944806,0.014113870662544995
4,linear,10.0,0.7475195822454308,0.010831576246836318,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223,0.7420781395120535,0.016297224641333912,0.7403392830783538,0.01793782664032825,0.7373852219286456,0.017048298034151223
5,linear,100.0,0.745691906005222,0.012423370499603462,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395,0.74019141352392,0.01787231287900402,0.738190120750429,0.019151454937874034,0.7352822362570193,0.018128992171025395
6,linear,1000.0,0.7456919060052218,0.012801723939562673,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328,0.7397979267975504,0.01876448994530789,0.7378470701177835,0.020141108928568165,0.7348458746405807,0.01916533229121328
7,rbf,0.001,0.16553524804177544,0.012801723939562682,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907,0.023647892577396495,0.0018288177056518112,0.14285714285714285,0.0,0.04054910498046811,0.0026852099783731907
8,rbf,0.01,0.32010443864229765,0.020298476997991435,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357,0.16704623169619215,0.003520245111954656,0.282643549515383,0.0016908137612404236,0.18690726017852366,0.0023840380985354357
9,rbf,0.1,0.6407310704960836,0.026759536240875105,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535,0.6514949045038679,0.026552537881100378,0.6339141840218079,0.021511253491110705,0.6203508990789073,0.026386351248313535
